"code","fundcode","期間","騰落率","リスク（標準偏差）","シャープレシオ"
"JP90C000FHE0","0331517A","1年",2.55,7.65,0.37
"JP90C000FHE0","0331517A","3年",25.84,10.23,0.81
"JP90C000FHE0","0331517A","5年",NA,NA,NA
"JP90C000FHE0","0331517A","10年",NA,NA,NA
"JP90C000FHF7","0331617A","6ヶ月",0.55,12.86,0.14
"JP90C000FHF7","0331617A","1年",3.6,9.95,0.4
"JP90C000FHF7","0331617A","3年",34.67,13.51,0.81
"JP90C000FHF7","0331617A","5年",NA,NA,NA
"JP90C000FHF7","0331617A","10年",NA,NA,NA
"JP90C000FHG5","0331717A","6ヶ月",0.59,14.3,0.14
"JP90C000FHG5","0331717A","1年",2.81,11.13,0.3
"JP90C000FHG5","0331717A","3年",43.13,15.41,0.86
"JP90C000FHG5","0331717A","5年",NA,NA,NA
"JP90C000FHG5","0331717A","10年",NA,NA,NA
"JP90C000FHZ5","0131317A","6ヶ月",1.17,20.25,0.2
"JP90C000FHZ5","0131317A","1年",10.05,15.66,0.69
"JP90C000FHZ5","0131317A","3年",64.88,18.09,1.02
"JP90C000FHZ5","0131317A","5年",NA,NA,NA
"JP90C000FHZ5","0131317A","10年",NA,NA,NA
"JP90C000FJ05","0131217A","6ヶ月",-0.96,15.77,-0.05
"JP90C000FJ05","0131217A","1年",-4.01,14.27,-0.22
"JP90C000FJ05","0131217A","3年",39.15,17.14,0.73
"JP90C000FJ05","0131217A","5年",NA,NA,NA
"JP90C000FJ05","0131217A","10年",NA,NA,NA
"JP90C000FJY4","AJ31117A","6ヶ月",0.77,11.32,0.18
"JP90C000FJY4","AJ31117A","1年",3.36,8.38,0.44
"JP90C000FJY4","AJ31117A","3年",30.06,10.95,0.86
"JP90C000FJY4","AJ31117A","5年",NA,NA,NA
"JP90C000FJY4","AJ31117A","10年",NA,NA,NA
"JP90C000FK36","2931517A","6ヶ月",-1.02,10.19,-0.16
"JP90C000FK36","2931517A","1年",-7.09,11.68,-0.57
"JP90C000FK36","2931517A","3年",32.36,19.4,0.58
"JP90C000FK36","2931517A","5年",NA,NA,NA
"JP90C000FK36","2931517A","10年",NA,NA,NA
"JP90C000FK44","2931617A","6ヶ月",1.15,12.93,0.23
"JP90C000FK44","2931617A","1年",5.36,9.54,0.59
"JP90C000FK44","2931617A","3年",29.73,10.91,0.85
"JP90C000FK44","2931617A","5年",NA,NA,NA
"JP90C000FK44","2931617A","10年",NA,NA,NA
"JP90C000FLK9","6431217B","6ヶ月",1.45,21.71,0.22
"JP90C000FLK9","6431217B","1年",12.7,16.69,0.8
"JP90C000FLK9","6431217B","3年",69.76,18.44,1.06
"JP90C000FLK9","6431217B","5年",NA,NA,NA
"JP90C000FLK9","6431217B","10年",NA,NA,NA
"JP90C000FLL7","6431117B","6ヶ月",-0.95,15.73,-0.05
"JP90C000FLL7","6431117B","1年",-3.96,14.25,-0.22
"JP90C000FLL7","6431117B","3年",39.13,17.13,0.73
"JP90C000FLL7","6431117B","5年",NA,NA,NA
"JP90C000FLL7","6431117B","10年",NA,NA,NA
"JP90C000FN25","4731317B","6ヶ月",-5.76,3.91,-3
"JP90C000FN25","4731317B","1年",-4.13,3.92,-1.05
"JP90C000FN25","4731317B","3年",4.92,4.04,0.42
"JP90C000FN25","4731317B","5年",NA,NA,NA
"JP90C000FN25","4731317B","10年",NA,NA,NA
"JP90C000FN33","4731417B","6ヶ月",-4.5,8.65,-1.02
"JP90C000FN33","4731417B","1年",-1.18,7.08,-0.13
"JP90C000FN33","4731417B","3年",18.72,8.11,0.75
"JP90C000FN33","4731417B","5年",NA,NA,NA
"JP90C000FN33","4731417B","10年",NA,NA,NA
"JP90C000FN41","4731517B","6ヶ月",-2.65,13.75,-0.33
"JP90C000FN41","4731517B","1年",2.75,10.61,0.31
"JP90C000FN41","4731517B","3年",32.63,12.99,0.79
"JP90C000FN41","4731517B","5年",NA,NA,NA
"JP90C000FN41","4731517B","10年",NA,NA,NA
"JP90C000FNK5","2931217B","6ヶ月",0.22,14.21,0.09
"JP90C000FNK5","2931217B","1年",2.04,11.23,0.23
"JP90C000FNK5","2931217B","3年",44.97,15.64,0.88
"JP90C000FNK5","2931217B","5年",NA,NA,NA
"JP90C000FNK5","2931217B","10年",NA,NA,NA
"JP90C000FNL3","2931317B","6ヶ月",1.44,15.9,0.25
"JP90C000FNL3","2931317B","1年",4.87,12.13,0.45
"JP90C000FNL3","2931317B","3年",38.09,16.24,0.75
"JP90C000FNL3","2931317B","5年",NA,NA,NA
"JP90C000FNL3","2931317B","10年",NA,NA,NA
"JP90C000FNM1","2931417B","6ヶ月",0.2,9.58,0.08
"JP90C000FNM1","2931417B","1年",2.14,7.27,0.33
"JP90C000FNM1","2931417B","3年",21.43,8.4,0.82
"JP90C000FNM1","2931417B","5年",NA,NA,NA
"JP90C000FNM1","2931417B","10年",NA,NA,NA
"JP90C000FNN9","2931517B","6ヶ月",-1.17,4.45,-0.51
"JP90C000FNN9","2931517B","1年",-1.14,3.33,-0.32
"JP90C000FNN9","2931517B","3年",6.16,4.5,0.47
"JP90C000FNN9","2931517B","5年",NA,NA,NA
"JP90C000FNN9","2931517B","10年",NA,NA,NA
"JP90C000FQQ5","8931117C","6ヶ月",0.47,7.38,0.16
"JP90C000FQQ5","8931117C","1年",-4.96,11.75,-0.37
"JP90C000FQQ5","8931117C","3年",31.6,18.55,0.59
"JP90C000FQQ5","8931117C","5年",NA,NA,NA
"JP90C000FQQ5","8931117C","10年",NA,NA,NA
"JP90C000FQR3","8931217C","6ヶ月",0.85,18.88,0.17
"JP90C000FQR3","8931217C","1年",7.93,14.55,0.59
"JP90C000FQR3","8931217C","3年",59.96,17.62,0.98
"JP90C000FQR3","8931217C","5年",NA,NA,NA
"JP90C000FQR3","8931217C","10年",NA,NA,NA
"JP90C000FS95","3431117C","6ヶ月",0.8,14.12,0.17
"JP90C000FS95","3431117C","1年",6.35,10.49,0.64
"JP90C000FS95","3431117C","3年",35.86,10.46,1.04
"JP90C000FS95","3431117C","5年",NA,NA,NA
"JP90C000FS95","3431117C","10年",NA,NA,NA
"JP90C000FSN8","64311181","6ヶ月",-0.8,10.32,-0.11
"JP90C000FSN8","64311181","1年",-6.63,11.5,-0.54
"JP90C000FSN8","64311181","3年",33.12,19.43,0.59
"JP90C000FSN8","64311181","5年",NA,NA,NA
"JP90C000FSN8","64311181","10年",NA,NA,NA
"JP90C000FSP3","64312181","6ヶ月",0.48,12.01,0.13
"JP90C000FSP3","64312181","1年",1.63,10.96,0.2
"JP90C000FSP3","64312181","3年",34.95,14.97,0.74
"JP90C000FSP3","64312181","5年",NA,NA,NA
"JP90C000FSP3","64312181","10年",NA,NA,NA
"JP90C000FVY9","89311181","6ヶ月",1.04,20.17,0.19
"JP90C000FVY9","89311181","1年",9.25,15.29,0.65
"JP90C000FVY9","89311181","3年",62.08,17.84,1
"JP90C000FVY9","89311181","5年",NA,NA,NA
"JP90C000FVY9","89311181","10年",NA,NA,NA
"JP90C000FX72","47313181","6ヶ月",-4.59,1.78,-5.23
"JP90C000FX72","47313181","1年",-4.24,2.09,-2.05
"JP90C000FX72","47313181","3年",-1.97,2.38,-0.25
"JP90C000FX72","47313181","5年",NA,NA,NA
"JP90C000FX72","47313181","10年",NA,NA,NA
"JP90C000FX80","47314181","6ヶ月",-4.2,5.38,-1.57
"JP90C000FX80","47314181","1年",-3.03,4.31,-0.69
"JP90C000FX80","47314181","3年",6.48,5.04,0.45
"JP90C000FX80","47314181","5年",NA,NA,NA
"JP90C000FX80","47314181","10年",NA,NA,NA
"JP90C000FX98","47315181","6ヶ月",-3.2,7.41,-0.84
"JP90C000FX98","47315181","1年",-1.45,5.68,-0.23
"JP90C000FX98","47315181","3年",11.76,7.07,0.56
"JP90C000FX98","47315181","5年",NA,NA,NA
"JP90C000FX98","47315181","10年",NA,NA,NA
"JP90C000FXA5","47316181","6ヶ月",-1.74,10.67,-0.28
"JP90C000FXA5","47316181","1年",1.27,7.98,0.2
"JP90C000FXA5","47316181","3年",21.12,10.26,0.68
"JP90C000FXA5","47316181","5年",NA,NA,NA
"JP90C000FXA5","47316181","10年",NA,NA,NA
"JP90C000FXB3","47317181","6ヶ月",-0.29,13.96,0.02
"JP90C000FXB3","47317181","1年",3.79,10.32,0.41
"JP90C000FXB3","47317181","3年",29.87,13.38,0.72
"JP90C000FXB3","47317181","5年",NA,NA,NA
"JP90C000FXB3","47317181","10年",NA,NA,NA
"JP90C000FXV1","03311182","6ヶ月",-0.91,15.73,-0.05
"JP90C000FXV1","03311182","1年",-3.86,14.26,-0.21
"JP90C000FXV1","03311182","3年",39.46,17.14,0.73
"JP90C000FXV1","03311182","5年",NA,NA,NA
"JP90C000FXV1","03311182","10年",NA,NA,NA
"JP90C000G631","03316183","6ヶ月",1.21,20.19,0.2
"JP90C000G631","03316183","1年",10.11,15.61,0.69
"JP90C000G631","03316183","3年",65.07,18.09,1.02
"JP90C000G631","03316183","5年",NA,NA,NA
"JP90C000G631","03316183","10年",NA,NA,NA
"JP90C000G664","AJ316183","6ヶ月",0.62,15.11,0.14
"JP90C000G664","AJ316183","1年",6.64,11.55,0.61
"JP90C000G664","AJ316183","3年",41.38,12.88,0.97
"JP90C000G664","AJ316183","5年",NA,NA,NA
"JP90C000G664","AJ316183","10年",NA,NA,NA
"JP90C000G672","AJ314183","6ヶ月",-3.15,5.86,-1.06
"JP90C000G672","AJ314183","1年",-0.6,4.91,-0.1
"JP90C000G672","AJ314183","3年",11.91,4.6,0.85
"JP90C000G672","AJ314183","5年",NA,NA,NA
"JP90C000G672","AJ314183","10年",NA,NA,NA
"JP90C000G680","AJ315183","6ヶ月",-0.84,11.42,-0.1
"JP90C000G680","AJ315183","1年",3.79,8.82,0.47
"JP90C000G680","AJ315183","3年",29.03,9.6,0.94
"JP90C000G680","AJ315183","5年",NA,NA,NA
"JP90C000G680","AJ315183","10年",NA,NA,NA
"JP90C000G7W3","03312184","6ヶ月",0.53,14.1,0.13
"JP90C000G7W3","03312184","1年",2.6,11.07,0.28
"JP90C000G7W3","03312184","3年",45.98,15.6,0.89
"JP90C000G7W3","03312184","5年",NA,NA,NA
"JP90C000G7W3","03312184","10年",NA,NA,NA
"JP90C000GB28","01312185","6ヶ月",0.23,8.76,0.09
"JP90C000GB28","01312185","1年",0.38,6.93,0.09
"JP90C000GB28","01312185","3年",24.26,9.68,0.8
"JP90C000GB28","01312185","5年",NA,NA,NA
"JP90C000GB28","01312185","10年",NA,NA,NA
"JP90C000GKC6","03311187","6ヶ月",1.29,22.7,0.21
"JP90C000GKC6","03311187","1年",16.86,17.16,0.99
"JP90C000GKC6","03311187","3年",81.98,17.82,1.22
"JP90C000GKC6","03311187","5年",NA,NA,NA
"JP90C000GKC6","03311187","10年",NA,NA,NA
"JP90C000GMQ2","9I311187","6ヶ月",-1.91,13.35,-0.23
"JP90C000GMQ2","9I311187","1年",3.33,10.44,0.36
"JP90C000GMQ2","9I311187","3年",40.12,12.27,0.98
"JP90C000GMQ2","9I311187","5年",NA,NA,NA
"JP90C000GMQ2","9I311187","10年",NA,NA,NA
"JP90C000GMR0","9I312187","6ヶ月",-3.89,9.65,-0.78
"JP90C000GMR0","9I312187","1年",-0.07,7.79,0.03
"JP90C000GMR0","9I312187","3年",26.42,8.95,0.92
"JP90C000GMR0","9I312187","5年",NA,NA,NA
"JP90C000GMR0","9I312187","10年",NA,NA,NA
"JP90C000GMS8","9I313187","6ヶ月",-5.93,6.12,-1.96
"JP90C000GMS8","9I313187","1年",-3.5,5.47,-0.62
"JP90C000GMS8","9I313187","3年",13.02,6.1,0.7
"JP90C000GMS8","9I313187","5年",NA,NA,NA
"JP90C000GMS8","9I313187","10年",NA,NA,NA
"JP90C000GV81","AY311189","6ヶ月",-1.3,4.84,-0.6
"JP90C000GV81","AY311189","1年",-0.56,3.4,-0.1
"JP90C000GV81","AY311189","3年",7.14,3.31,0.75
"JP90C000GV81","AY311189","5年",NA,NA,NA
"JP90C000GV81","AY311189","10年",NA,NA,NA
"JP90C000GV99","AY312189","6ヶ月",-0.55,7.16,-0.1
"JP90C000GV99","AY312189","1年",0.37,5.12,0.2
"JP90C000GV99","AY312189","3年",13.81,6.17,0.8
"JP90C000GV99","AY312189","5年",NA,NA,NA
"JP90C000GV99","AY312189","10年",NA,NA,NA
"JP90C000GVW1","32311189","6ヶ月",1.84,23.11,0.25
"JP90C000GVW1","32311189","1年",8.78,16.37,0.59
"JP90C000GVW1","32311189","3年",59.05,19.03,0.92
"JP90C000GVW1","32311189","5年",NA,NA,NA
"JP90C000GVW1","32311189","10年",NA,NA,NA
"JP90C000H1T1","0331418A","6ヶ月",1.14,19.77,0.2
"JP90C000H1T1","0331418A","1年",9.62,15.11,0.68
"JP90C000H1T1","0331418A","3年",63.21,17.66,1.02
"JP90C000H1T1","0331418A","5年",NA,NA,NA
"JP90C000H1T1","0331418A","10年",NA,NA,NA
"JP90C000HZE8","47312197","6ヶ月",1.03,19.78,0.19
"JP90C000HZE8","47312197","1年",9.48,15.13,0.67
"JP90C000HZE8","47312197","3年",NA,NA,NA
"JP90C000HZE8","47312197","5年",NA,NA,NA
"JP90C000HZE8","47312197","10年",NA,NA,NA
"JP90C000J5T0","49311199","6ヶ月",0.3,10.87,0.1
"JP90C000J5T0","49311199","1年",4.09,7.92,0.55
"JP90C000J5T0","49311199","3年",NA,NA,NA
"JP90C000J5T0","49311199","5年",NA,NA,NA
"JP90C000J5T0","49311199","10年",NA,NA,NA
"JP90C000J5U8","49312199","6ヶ月",0.32,11.22,0.1
"JP90C000J5U8","49312199","1年",4.22,8.18,0.55
"JP90C000J5U8","49312199","3年",NA,NA,NA
"JP90C000J5U8","49312199","5年",NA,NA,NA
"JP90C000J5U8","49312199","10年",NA,NA,NA
"JP90C000J5V6","49313199","6ヶ月",0.39,11.54,0.12
"JP90C000J5V6","49313199","1年",4.41,8.42,0.56
"JP90C000J5V6","49313199","3年",NA,NA,NA
"JP90C000J5V6","49313199","5年",NA,NA,NA
"JP90C000J5V6","49313199","10年",NA,NA,NA
"JP90C000J5W4","49314199","6ヶ月",0.52,12.19,0.14
"JP90C000J5W4","49314199","1年",4.78,8.89,0.57
"JP90C000J5W4","49314199","3年",NA,NA,NA
"JP90C000J5W4","49314199","5年",NA,NA,NA
"JP90C000J5W4","49314199","10年",NA,NA,NA
"JP90C000JTA5","25312202","6ヶ月",-0.79,15.75,-0.03
"JP90C000JTA5","25312202","1年",-3.94,14.27,-0.21
"JP90C000JTA5","25312202","3年",NA,NA,NA
"JP90C000JTA5","25312202","5年",NA,NA,NA
"JP90C000JTA5","25312202","10年",NA,NA,NA
"JP90C000JUG0","25314202","6ヶ月",1.18,22.62,0.2
"JP90C000JUG0","25314202","1年",16.5,17.1,0.98
"JP90C000JUG0","25314202","3年",NA,NA,NA
"JP90C000JUG0","25314202","5年",NA,NA,NA
"JP90C000JUG0","25314202","10年",NA,NA,NA
"JP90C000JUK2","25313202","6ヶ月",2.63,24.27,0.31
"JP90C000JUK2","25313202","1年",18.96,18.29,1.04
"JP90C000JUK2","25313202","3年",NA,NA,NA
"JP90C000JUK2","25313202","5年",NA,NA,NA
"JP90C000JUK2","25313202","10年",NA,NA,NA
"JP90C000JUL0","25315202","6ヶ月",0.86,15.51,0.18
"JP90C000JUL0","25315202","1年",-1.51,11.8,-0.07
"JP90C000JUL0","25315202","3年",NA,NA,NA
"JP90C000JUL0","25315202","5年",NA,NA,NA
"JP90C000JUL0","25315202","10年",NA,NA,NA
"JP90C000JX03","03315203","6ヶ月",1.22,22.7,0.2
"JP90C000JX03","03315203","1年",16.72,17.16,0.99
"JP90C000JX03","03315203","3年",NA,NA,NA
"JP90C000JX03","03315203","5年",NA,NA,NA
"JP90C000JX03","03315203","10年",NA,NA,NA
"JP90C000JX11","03316203","6ヶ月",1.07,19.67,0.19
"JP90C000JX11","03316203","1年",9.46,15.04,0.67
"JP90C000JX11","03316203","3年",NA,NA,NA
"JP90C000JX11","03316203","5年",NA,NA,NA
"JP90C000JX11","03316203","10年",NA,NA,NA
"JP90C000KBY1","AJ311207","6ヶ月",1.08,22.71,0.19
"JP90C000KBY1","AJ311207","1年",16.24,17.17,0.96
"JP90C000KBY1","AJ311207","3年",NA,NA,NA
"JP90C000KBY1","AJ311207","5年",NA,NA,NA
"JP90C000KBY1","AJ311207","10年",NA,NA,NA
"JP90C000KCW3","29312206","6ヶ月",0.39,16.07,0.12
"JP90C000KCW3","29312206","1年",3.68,12.94,0.34
"JP90C000KCW3","29312206","3年",NA,NA,NA
"JP90C000KCW3","29312206","5年",NA,NA,NA
"JP90C000KCW3","29312206","10年",NA,NA,NA
"JP90C000KQ33","32312209","6ヶ月",-0.48,18.57,0.03
"JP90C000KQ33","32312209","1年",4.9,13.18,0.43
"JP90C000KQ33","32312209","3年",NA,NA,NA
"JP90C000KQ33","32312209","5年",NA,NA,NA
"JP90C000KQ33","32312209","10年",NA,NA,NA
"JP90C000KQ41","32313209","6ヶ月",1.36,22.11,0.21
"JP90C000KQ41","32313209","1年",8.16,15.66,0.57
"JP90C000KQ41","32313209","3年",NA,NA,NA
"JP90C000KQ41","32313209","5年",NA,NA,NA
"JP90C000KQ41","32313209","10年",NA,NA,NA
"JP90C000LZD2","9I311216","6ヶ月",-6.98,5.92,-2.4
"JP90C000LZD2","9I311216","1年",NA,NA,NA
"JP90C000LZD2","9I311216","3年",NA,NA,NA
"JP90C000LZD2","9I311216","5年",NA,NA,NA
"JP90C000LZD2","9I311216","10年",NA,NA,NA
"JP90C000LZE0","9I312216","6ヶ月",-5.86,8.33,-1.41
"JP90C000LZE0","9I312216","1年",NA,NA,NA
"JP90C000LZE0","9I312216","3年",NA,NA,NA
"JP90C000LZE0","9I312216","5年",NA,NA,NA
"JP90C000LZE0","9I312216","10年",NA,NA,NA
"JP90C000LZF7","9I313216","6ヶ月",-4.59,10.86,-0.82
"JP90C000LZF7","9I313216","1年",NA,NA,NA
"JP90C000LZF7","9I313216","3年",NA,NA,NA
"JP90C000LZF7","9I313216","5年",NA,NA,NA
"JP90C000LZF7","9I313216","10年",NA,NA,NA
"JP90C000LZG5","9I314216","6ヶ月",-3.65,13.19,-0.51
"JP90C000LZG5","9I314216","1年",NA,NA,NA
"JP90C000LZG5","9I314216","3年",NA,NA,NA
"JP90C000LZG5","9I314216","5年",NA,NA,NA
"JP90C000LZG5","9I314216","10年",NA,NA,NA
"JP90C000LZH3","9I315216","6ヶ月",-2.75,15.29,-0.3
"JP90C000LZH3","9I315216","1年",NA,NA,NA
"JP90C000LZH3","9I315216","3年",NA,NA,NA
"JP90C000LZH3","9I315216","5年",NA,NA,NA
"JP90C000LZH3","9I315216","10年",NA,NA,NA
